label,selection,database,difference,selection_qty,database_qty,% of DB
Aries,0.11904762,0.09455128,0.02449634,5,59,0.00801282
Taurus,0.04761905,0.08012821,-0.03250916,2,50,0.00320513
Gemini,0.11904762,0.12660256,-0.00755495,5,79,0.00801282
Cancer,0.04761905,0.07692308,-0.02930403,2,48,0.00320513
Leo,0.02380952,0.09134615,-0.06753663,1,57,0.00160256
Virgo,0.07142857,0.06089744,0.01053114,3,38,0.00480769
Libra,0.02380952,0.09134615,-0.06753663,1,57,0.00160256
Scorpio,0.0952381,0.08333333,0.01190476,4,52,0.00641026
Sagittarius,0.11904762,0.05929487,0.05975275,5,37,0.00801282
Capricorn,0.14285714,0.10416667,0.03869048,6,65,0.00961538
Aquarius,0.11904762,0.05448718,0.06456044,5,34,0.00801282
Pisces,0.07142857,0.07692308,-0.00549451,3,48,0.00480769
